form	count	lemma	gloss
καί	8973	καί	and, even, also, namely
ὁ	2916	ὁ	the
δέ	2766	δέ	but, on the other hand, and
ἐν	2733	ἐν	in, on, among
τοῦ	2507	ὁ	the
εἰς	1754	εἰς	into, in, among, till, for
τό	1684	ὁ	the
οὐ	1605	οὐ	no, not
τόν	1576	ὁ	the
τήν	1518	ὁ	the
αὐτοῦ	1409	αὐτός	he, she, it, they, them, same
τῆς	1298	ὁ	the
ὅτι	1294	ὅτι	that, since, because
τῷ	1233	ὁ	the
τῶν	1204	ὁ	the
οἱ	1112	ὁ	the
γάρ	1039	γάρ	for
μή	1036	μή	not, lest
ἡ	980	ὁ	the
αὐτόν	952	αὐτός	he, she, it, they, them, same
ἐκ	913	ἐκ	from out, out from among, from
ἐστί(ν)	896	εἰμί	I am, exist
ἐπί	885	ἐπί	on, to, against, on the basis of, at
τῇ	877	ὁ	the
αὐτῷ	849	αὐτός	he, she, it, they, them, same
τά	830	ὁ	the
τούς	729	ὁ	the
πρός	696	πρός	to, towards, with
θεοῦ	687	θεός	God, a god
διά	666	διά	through, on account of
ἵνα	662	ἵνα	in order that, so that
ἀπό	644	ἀπό	from, away from
ἀλλά	638	ἀλλά	but, except
τοῖς	619	ὁ	the
εἶπε(ν)	610	λέγω	I say, speak
ὑμῖν	607	σύ	you
αὐτῶν	561	αὐτός	he, she, it, they, them, same
ὑμῶν	559	σύ	you
αὐτοῖς	554	αὐτός	he, she, it, they, them, same
μου	554	ἐγώ	I
ὡς	503	ὡς	as, like as, how, while, so that
εἰ	502	εἰ	if
οὖν	494	οὖν	therefore, then
μετά	470	μετά	with, after
κατά	469	κατά	down from, against, according to, throughout, during
Ἰησοῦς	456	Ἰησοῦς	Jesus
ὑμᾶς	431	σύ	you
σου	416	σύ	you
ἡμῶν	400	ἐγώ	I
αὐτούς	353	αὐτός	he, she, it, they, them, same
ἤ	346	ἤ	or, than
ἐγώ	343	ἐγώ	I
τί	341	τίς	who, which, what
τάς	337	ὁ	the
λέγει	336	λέγω	I say, speak
τοῦτο	334	οὗτος	this, he, she, it
περί	332	περί	about, concerning, around
ἐάν	331	ἐάν	if
Ἰησοῦ	322	Ἰησοῦς	Jesus
ἦν	314	εἰμί	I am, exist
θεός	305	θεός	God, a god
με	285	ἐγώ	I
πάντα	263	πᾶς	all, the whole, every kind of
ὅ	250	ὅς	who, which, what, that
Χριστοῦ	248	Χριστός	anointed, the Messiah, the Christ
ταῦτα	240	οὗτος	this, he, she, it
κυρίου	239	κύριος	lord, Lord, master, sir
ὑμεῖς	236	σύ	you
τις	233	τις	any one, some one
μοι	221	ἐγώ	I
ὑπό	220	ὑπό	by, under, about
ὅς	219	ὅς	who, which, what, that
τέ	213	τέ	and, both
λέγω	211	λέγω	I say, speak
οὕτω(ς)	207	οὕτω(ς)	thus, so, in this manner
ταῖς	203	ὁ	the
ἐγένετο	201	γίνομαι	I come into being, am born
ἰδού	200	ἰδού	See! Lo! Behold! Look!
παρά	193	παρά	from, in the presence of
οὗτος	188	οὗτος	this, he, she, it
καθώς	182	καθώς	just as, as
πάντες	178	πᾶς	all, the whole, every kind of
μέν	178	μέν	truly, indeed
λέγων	178	λέγω	I say, speak
κύριος	176	κύριος	lord, Lord, master, sir
σύ	173	σύ	you
ἄν	171	ἄν	an untranslatable word that makes a statement contingent
αὐτῆς	170	αὐτός	he, she, it, they, them, same
ἡμῖν	167	ἐγώ	I
αὐτός	167	αὐτός	he, she, it, they, them, same
ὅν	167	ὅς	who, which, what, that
ἡμᾶς	167	ἐγώ	I
σοι	164	σύ	you
τότε	159	τότε	then
υἱός	159	υἱός	a son, descendent
πνεῦμα	159	πνεῦμα	wind, breath, spirit
θεῷ	157	θεός	God, a god
σε	157	σύ	you
εἰσί(ν)	156	εἰμί	I am, exist
λέγοντες	150	λέγω	I say, speak
ὑπέρ	150	ὑπέρ	in behalf of, above
τίς	149	τίς	who, which, what
θεόν	148	θεός	God, a god
αἱ	146	ὁ	the
ἕως	145	ἕως	until, as far as
νῦν	145	νῦν	now, already, at present
ἀδελφοί	144	ἀδελφός	a brother
οὐδέ	142	οὐδέ	neither, nor, not even
πάλιν	139	πάλιν	again, further, on the other hand
εἰμί	138	εἰμί	I am, exist
γῆς	135	γῆ	the earth, soil, land
πάντων	135	πᾶς	all, the whole, every kind of
αὐτήν	135	αὐτός	he, she, it, they, them, same
λόγον	130	λόγος	a word, speech, divine utterance, analogy
σύν	129	σύν	with
ἀνθρώπου	129	ἄνθρωπος	a man, one of the human race
ἀμήν	128	ἀμήν	verily, truly, amen, so let it be
Ἰησοῦν	128	Ἰησοῦς	Jesus
ἡμεῖς	127	ἐγώ	I
ἡμέρας	127	ἡμέρα	a day
δύο	126	δύο	two
εἶναι	124	εἰμί	I am, exist
ὅταν	123	ὅταν	when, whensoever
ἄνθρωπος	122	ἄνθρωπος	a man, one of the human race
ἔσται	118	εἰμί	I am, exist
ᾧ	118	ὅς	who, which, what, that
κύριε	118	κύριος	lord, Lord, master, sir
ἅ	117	ὅς	who, which, what, that
οὗ	116	ὅς	who, which, what, that
Χριστός	111	Χριστός	anointed, the Messiah, the Christ
πατήρ	110	πατήρ	father, Father, ancestor
ἐμοῦ	109	ἐγώ	I
μαθηταί	109	μαθητής	a learner, disciple, pupil
αὐτῇ	108	αὐτός	he, she, it, they, them, same
ὄνομα	105	ὄνομα	name, character, reputation
αὐτό	104	αὐτός	he, she, it, they, them, same
πῶς	103	πῶς	how, in what manner
Χριστῷ	103	Χριστός	anointed, the Messiah, the Christ
ἔχει	103	ἔχω	I have, hold, possess
ὅτε	102	ὅτε	when
πατρός	100	πατήρ	father, Father, ancestor
Πέτρος	100	Πέτρος	Peter
κυρίῳ	99	κύριος	lord, Lord, master, sir
τι	99	τις	any one, some one
ἀνθρώπων	99	ἄνθρωπος	a man, one of the human race
ἥν	98	ὅς	who, which, what, that
οὐδείς	96	οὐδείς	no one, none, nothing
εἷς	96	εἷς	one
ἦσαν	95	εἰμί	I am, exist
πᾶς	95	πᾶς	all, the whole, every kind of
ἐκεῖ	95	ἐκεῖ	there, yonder, thither
εἶπαν	95	λέγω	I say, speak
ὀνόματι	95	ὄνομα	name, character, reputation
πνεύματος	95	πνεῦμα	wind, breath, spirit
ἀποκριθείς	94	ἀποκρίνομαι	I answer, reply
ἐνώπιον	94	ἐνώπιον	before the face of, in the presence of
ἔτι	93	ἔτι	still, yet, even now
πίστεως	93	πίστις	faith, belief, trust
πατέρα	93	πατήρ	father, Father, ancestor
ἐστέ	93	εἰμί	I am, exist
οὐρανοῦ	92	οὐρανός	the sky, the heaven
εἶ	92	εἰμί	I am, exist
ἐμέ	92	ἐγώ	I
ἐμοί	92	ἐγώ	I
πνεύματι	91	πνεῦμα	wind, breath, spirit
πάντας	91	πᾶς	all, the whole, every kind of
τούτῳ	89	οὗτος	this, he, she, it
ἦλθε(ν)	89	ἔρχομαι	I come, go
ἔρχεται	89	ἔρχομαι	I come, go
ἑπτά	88	ἑπτά	seven
πᾶσι(ν)	88	πᾶς	all, the whole, every kind of
οὔτε	87	οὔτε	and not, neither, nor
αὐτοί	86	αὐτός	he, she, it, they, them, same
ἔχων	86	ἔχω	I have, hold, possess
οὐδέν	85	οὐδείς	no one, none, nothing
υἱόν	85	υἱός	a son, descendent
ἡμέρᾳ	84	ἡμέρα	a day
πολλοί	83	πολύς	much, many, often
ὥστε	83	ὥστε	so that, therefore
ἀπεκρίθη	82	ἀποκρίνομαι	I answer, reply
ὅπου	81	ὅπου	where, whither
μᾶλλον	81	μᾶλλον	more, rather
ὧν	80	ὅς	who, which, what, that
Παῦλος	79	Παῦλος	Paul
ἔλεγον	78	λέγω	I say, speak
δεῖ	77	δέω	I bind
Ἰερουσαλήμ	76	Ἰερουσαλήμ	Jerusalem
εἶδον	76	ὁράω	I see, look upon, experience
γῆν	76	γῆ	the earth, soil, land
νεκρῶν	76	νεκρός	dead, a corpse
πᾶν	75	πᾶς	all, the whole, every kind of
δώδεκα	75	δώδεκα	twelve
ἐποίησε(ν)	75	ποιέω	I do, make
κἀγώ	75	κἀγώ	I also, I too
οὗτοι	73	οὗτος	this, he, she, it
Ἀβραάμ	73	Ἀβραάμ	Abraham
τούτων	72	οὗτος	this, he, she, it
αὕτη	72	οὗτος	this, he, she, it
μόνον	71	μόνος	only, solitary, desolate
γυνή	71	γυνή	a woman, wife, my lady
κόσμου	71	κόσμος	the world, universe
